post_id,date,platform,topic,keywords,hashtags,sentiment,sentiment_score,user_type,age_group,region,followers_count,views,likes,comments,shares
P110284,2025-05-16,YouTube,Climate & Environment,carbon emissions,"#RenewableEnergy, #Sustainability",Negative,-0.6,Verified/Celebrity,35-44,South Asia,6162488,472142,12905,3884.0,7859
P103580,2025-03-22,Instagram,Technology,"data privacy, startup, cloud computing","#TechNews, #StartupLife",Positive,0.874,Micro-Influencer,35-44,Africa,44418,4625,200,57.0,42
P107287,2025-05-06,TikTok,Climate & Environment,"carbon emissions, climate change, sustainability","#Sustainability, #GoGreen, #RenewableEnergy",Positive,0.313,Regular User,13-17,Europe,1522,67,4,0.0,0
P101414,2025-12-29,Instagram,Politics,"policy, budget","#Government, #PolicyReform",Negative,-0.525,Regular User,35-44,North America,1628,68,3,0.0,0
P107226,2025-11-07,YouTube,Entertainment,"movie release, album drop, streaming",#NewAlbum,Positive,1.0,Macro-Influencer,18-24,South America,349926,25453,1430,160.0,50
P106612,2025-08-03,Twitter/X,Sports,world cup,"#GameDay, #Championship",Positive,0.225,Regular User,25-34,Australia/Oceania,1907,19,1,0.0,0
P107788,2025-05-11,LinkedIn,Business & Finance,"stock market, crypto, layoffs",#Inflation,Negative,-0.373,Regular User,18-24,Southeast Asia,1103,46,3,0.0,0
P102273,2025-04-23,LinkedIn,Entertainment,celebrity,#StreamingNow,Positive,0.374,Regular User,25-34,North America,1909,15,0,0.0,0
P111196,2025-01-04,TikTok,Politics,"budget, voting","#Protest, #Democracy",Negative,-0.198,Regular User,25-34,Middle East,1023,16,1,0.0,0
P102858,2025-07-06,TikTok,Entertainment,movie release,#AwardSeason,Positive,0.532,Regular User,,Southeast Asia,1425,239,11,1.0,1
P107225,2025-03-21,Facebook,Sports,"transfer news, injury update","#Sports, #Championship, #WorldCup",Positive,0.653,Regular User,35-44,South America,599,50,4,0.0,0
P105068,2025-04-29,LinkedIn,Climate & Environment,heatwave,"#RenewableEnergy, #Sustainability",Negative,-0.507,Regular User,35-44,South Asia,1423,78,7,1.0,1
P107081,2025-07-04,LinkedIn,Politics,"government, reform, legislation","#Protest, #PolicyReform",Negative,-0.3,Micro-Influencer,25-34,South America,31758,538,36,15.0,1
P111490,2025-11-24,LinkedIn,Business & Finance,"layoffs, startup funding","#Finance, #StockMarket, #Crypto",Negative,-0.285,Macro-Influencer,,South America,455808,11627,1200,198.0,83
P107293,2025-02-05,TikTok,Technology,robotics,"#Innovation, #TechNews",Neutral,-0.039,Regular User,35-44,South Asia,1201,44,3,0.0,0
P107760,2025-11-06,Twitter/X,Sports,"transfer news, injury update, league table","#MatchDay, #GameDay, #Championship",NEGATIVE,-0.157,Micro-Influencer,13-17,Middle East,2947,133,3,3.0,1
P109073,2025-09-03,Twitter/X,Climate & Environment,"carbon emissions, sustainability, flooding",#RenewableEnergy,Negative,-0.207,Regular User,18-24,South America,1752,34,2,0.0,0
P111234,2025-07-10,Instagram,Education,online learning,#Exams,Positive,0.428,Regular User,45-54,South America,1631,75,9,1.0,0
P100388,2025-09-21,TikTok,Business & Finance,"inflation, stock market",#Economy,Positive,0.279,Regular User,13-17,Southeast Asia,770,92,13,1.0,1
P108067,2025-07-29,Facebook,Climate & Environment,climate change,#RenewableEnergy,Negative,-0.443,Regular User,18-24,Africa,1885,14,1,0.0,0
P108585,2025-02-01,Twitter/X,Technology,cybersecurity,#FutureTech,Negative,-0.23,Regular User,25-34,Africa,1551,10,0,0.0,0
P100638,2025-02-05,YouTube,Sports,"coach, world cup, match result","#WorldCup, #Sports",Neutral,-0.064,Verified/Celebrity,18-24,North America,3537578,44652,2739,,172
P104543,2025-10-22,TikTok,Sports,"tournament, injury update, league table","#MatchDay, #GameDay, #Sports",Neutral,0.025,Regular User,25-34,Southeast Asia,989,6,0,0.0,0
P102173,2025-08-11,Twitter/X,Business & Finance,IPO,"#Economy, #Inflation, #StockMarket",Negative,-0.219,Regular User,18-24,,733,13,0,0.0,0
P107870,2025-02-02,Twitter/X,Technology,gadgets,"#Innovation, #CyberSecurity, #AI",Positive,0.399,Regular User,45-54,Australia/Oceania,1857,63,1,0.0,1
P105704,2025-12-18,TikTok,Sports,"coach, league table","#Championship, #Transfer, #MatchDay",Positive,0.235,Regular User,45-54,South America,150,13,0,0.0,0
P106124,2025-11-05,LinkedIn,Education,"school reopening, scholarship, edtech","#Education, #StudentLife, #EdTech",Positive,0.508,Regular User,25-34,Australia/Oceania,1845,24,1,0.0,0
P104359,2025-11-05,Twitter/X,Education,"edtech, school reopening, curriculum","#Exams, #Scholarship",Negative,-0.542,Micro-Influencer,13-17,Southeast Asia,31540,931,21,23.0,2
P105360,2025-06-28,Instagram,Climate & Environment,"renewable energy, carbon emissions, climate change","  #climatechange, #conservation ",Negative,-0.438,Regular User,35-44,Australia/Oceania,1095,57,1,1.0,0
P108370,2025-05-24,YouTube,Politics,campaign,#Government,Neutral,-0.146,Micro-Influencer,25-34,North America,37804,665,50,1.0,2
P101784,2025-03-28,LinkedIn,Entertainment,series finale,#AwardSeason,Neutral,0.109,Micro-Influencer,18-24,North America,24111,54,5,0.0,0
P106891,2025-06-26,Facebook,Politics,"campaign, policy, government","#PolicyReform, #Protest, #Government",Positive,0.153,Regular User,18-24,Middle East,1700,20,0,0.0,0
P105776,2025-08-06,LinkedIn,Business & Finance,"IPO, inflation, layoffs",#Layoffs,Positive,0.389,Brand Account,45-54,,1413640,18722,2765,285.0,234
P101674,2025-05-17,Twitter/X,Technology,"ChatGPT, robotics",#FutureTech,Positive,0.526,Regular User,18-24,Europe,1066,57,6,0.0,0
P108937,2025-03-26,LinkedIn,Entertainment,"movie release, series finale, streaming","#Concert, #StreamingNow",Positive,0.353,Regular User,35-44,South Asia,234,13,1,0.0,0
P105313,2025-05-10,Instagram,Entertainment,"series finale, concert",#Concert,Positive,0.879,Macro-Influencer,18-24,Southeast Asia,392173,23536,622,259.0,309
P111946,2025-12-26,LinkedIn,Climate & Environment,"heatwave, renewable energy",#Conservation,Negative,-0.195,Micro-Influencer,18-24,North America,7762,25,1,0.0,0
P107363,2025-03-06,Facebook,Business & Finance,"interest rates, IPO, layoffs",#Economy,Negative,-0.844,Macro-Influencer,25-34,Australia/Oceania,147006,13031,832,99.0,101
